,camera_order,shape_order,duration,time,times
0,camera 2,circle,21.0,21.0,0 days 00:21:00
1,fixation,fixation,16.0,37.0,0 days 00:37:00
2,camera 1,triangle,5.0,42.0,0 days 00:42:00
3,fixation,fixation,16.0,58.0,0 days 00:58:00
4,camera 1,triangle,5.0,63.0,0 days 01:03:00
5,fixation,fixation,16.0,79.0,0 days 01:19:00
6,camera 2,circle,5.0,84.0,0 days 01:24:00
7,fixation,fixation,16.0,100.0,0 days 01:40:00
8,camera 2,circle,5.0,105.0,0 days 01:45:00
9,fixation,fixation,16.0,121.0,0 days 02:01:00
10,camera 1,circle,5.0,126.0,0 days 02:06:00
11,fixation,fixation,16.0,142.0,0 days 02:22:00
12,camera 1,circle,5.0,147.0,0 days 02:27:00
13,fixation,fixation,16.0,163.0,0 days 02:43:00
14,camera 2,circle,5.0,168.0,0 days 02:48:00
15,fixation,fixation,16.0,184.0,0 days 03:04:00
16,camera 1,circle,5.0,189.0,0 days 03:09:00
17,fixation,fixation,16.0,205.0,0 days 03:25:00
18,camera 2,triangle,5.0,210.0,0 days 03:30:00
19,fixation,fixation,16.0,226.0,0 days 03:46:00
20,camera 2,triangle,5.0,231.0,0 days 03:51:00
21,fixation,fixation,16.0,247.0,0 days 04:07:00
22,camera 1,circle,5.0,252.0,0 days 04:12:00
23,fixation,fixation,16.0,268.0,0 days 04:28:00
24,camera 2,circle,5.0,273.0,0 days 04:33:00
25,fixation,fixation,16.0,289.0,0 days 04:49:00
26,camera 1,triangle,5.0,294.0,0 days 04:54:00
27,fixation,fixation,16.0,310.0,0 days 05:10:00
28,camera 2,triangle,5.0,315.0,0 days 05:15:00
29,fixation,fixation,16.0,331.0,0 days 05:31:00
30,camera 1,circle,5.0,336.0,0 days 05:36:00
31,fixation,fixation,16.0,352.0,0 days 05:52:00
32,camera 1,circle,5.0,357.0,0 days 05:57:00
33,fixation,fixation,16.0,373.0,0 days 06:13:00
34,camera 2,triangle,5.0,378.0,0 days 06:18:00
35,fixation,fixation,16.0,394.0,0 days 06:34:00
