,camera_order,shape_order,duration,times
0,fixation,fixation,7.0,1
1,camera 1,circle,15.0,0 days 00:00:07
2,fixation,fixation,6.0,0 days 00:00:22
3,camera 2,triangle,15.0,0 days 00:00:28
4,fixation,fixation,6.0,0 days 00:00:43
5,camera 1,triangle,15.0,0 days 00:00:49
6,fixation,fixation,6.0,0 days 00:01:04
7,camera 2,circle,15.0,0 days 00:01:10
8,fixation,fixation,6.0,0 days 00:01:25
9,camera 2,circle,15.0,0 days 00:01:31
10,fixation,fixation,6.0,0 days 00:01:46
11,camera 1,triangle,15.0,0 days 00:01:52
12,fixation,fixation,6.0,0 days 00:02:07
13,camera 1,triangle,15.0,0 days 00:02:13
14,fixation,fixation,6.0,0 days 00:02:28
15,camera 2,triangle,15.0,0 days 00:02:34
16,fixation,fixation,6.0,0 days 00:02:49
17,camera 1,triangle,15.0,0 days 00:02:55
18,fixation,fixation,6.0,0 days 00:03:10
19,camera 2,circle,15.0,0 days 00:03:16
20,fixation,fixation,6.0,0 days 00:03:31
21,camera 1,circle,15.0,0 days 00:03:37
22,fixation,fixation,6.0,0 days 00:03:52
23,camera 2,circle,15.0,0 days 00:03:58
24,fixation,fixation,6.0,0 days 00:04:13
25,camera 1,circle,15.0,0 days 00:04:19
26,fixation,fixation,6.0,0 days 00:04:34
27,camera 2,circle,15.0,0 days 00:04:40
28,fixation,fixation,6.0,0 days 00:04:55
29,camera 2,circle,15.0,0 days 00:05:01
30,fixation,fixation,6.0,0 days 00:05:16
31,camera 1,circle,15.0,0 days 00:05:22
32,fixation,fixation,6.0,0 days 00:05:37
33,camera 1,circle,15.0,0 days 00:05:43
34,fixation,fixation,6.0,0 days 00:05:58
35,camera 2,circle,15.0,0 days 00:06:04
36,fixation,fixation,6.0,0 days 00:06:19
